,disp,lat,lon,net,sta,disp_pc
2020-03-29 12:00:00,1.09664665354e-10,58.4935,-3.9087,GB,BIGH,60.4388831076
2020-03-30 12:00:00,1.88859957103e-10,58.4935,-3.9087,GB,BIGH,31.8694785134
2020-03-31 12:00:00,1.727927786e-10,58.4935,-3.9087,GB,BIGH,37.665652922
2020-04-01 12:00:00,2.39222462141e-10,58.4935,-3.9087,GB,BIGH,13.7013936305
2020-04-02 12:00:00,5.76424776074e-10,58.4935,-3.9087,GB,BIGH,-107.943076946
2020-04-03 12:00:00,2.11191582206e-10,58.4935,-3.9087,GB,BIGH,23.8134284787
2020-04-04 12:00:00,9.65807936696e-11,58.4935,-3.9087,GB,BIGH,65.1588407662
2020-04-05 12:00:00,1.14820012499e-10,58.4935,-3.9087,GB,BIGH,58.5791109526
2020-04-06 12:00:00,2.06329350801e-10,58.4935,-3.9087,GB,BIGH,25.5674602295
2020-04-07 12:00:00,2.35776255207e-10,58.4935,-3.9087,GB,BIGH,14.9445998621
2020-04-08 12:00:00,2.78329709055e-10,58.4935,-3.9087,GB,BIGH,-0.406399080197
2020-04-09 12:00:00,2.0500657788e-10,58.4935,-3.9087,GB,BIGH,26.0446456017
2020-04-10 12:00:00,2.46332099703e-10,58.4935,-3.9087,GB,BIGH,11.136618534
2020-04-11 12:00:00,6.89941917414e-11,58.4935,-3.9087,GB,BIGH,75.1106039893
2020-04-12 12:00:00,1.17535261031e-10,58.4935,-3.9087,GB,BIGH,57.5995952241
2020-04-13 12:00:00,2.46289101796e-10,58.4935,-3.9087,GB,BIGH,11.1521298677
2020-04-14 12:00:00,4.48378920407e-10,58.4935,-3.9087,GB,BIGH,-61.751014559
2020-04-15 12:00:00,1.80632575047e-10,58.4935,-3.9087,GB,BIGH,34.8374757453
2020-04-16 12:00:00,1.60922813019e-10,58.4935,-3.9087,GB,BIGH,41.9476985048
2020-04-17 12:00:00,9.54630957231e-11,58.4935,-3.9087,GB,BIGH,65.5620461101
2020-04-18 12:00:00,6.68384911504e-11,58.4935,-3.9087,GB,BIGH,75.8882648958
2020-04-19 12:00:00,8.49722283189e-11,58.4935,-3.9087,GB,BIGH,69.3465871958
2020-04-20 12:00:00,2.65823700804e-10,58.4935,-3.9087,GB,BIGH,4.10509651104
2020-04-21 12:00:00,1.81476235208e-10,58.4935,-3.9087,GB,BIGH,34.5331285053
2020-04-22 12:00:00,2.12595787023e-10,58.4935,-3.9087,GB,BIGH,23.3068668554
